Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Country Village Hand Car Wash,,+1-626-307-9275,,,Alhambra,CA,P4 | Class B | website has objective flaws | https://www.countryvillagecarwash.com/,,Car Washes
Five Star Express Car Wash,,+1-562-865-6699,,,Lakewood,CA,P4 | Class B | website has objective flaws | http://fivestarecw.com/,,Car Washes
Gateway Express Car Wash,,+1-562-595-4200,,,Lakewood,CA,P4 | Class B | website has objective flaws | http://www.gatewaycw.com/,,Car Washes
Ledesma & co Multiservice (MoBile),,+1-562-538-5127,,,Lakewood,CA,P4 | Class B | website has objective flaws | http://ledesmayco.com/,,Car Washes
Car Wash & Detail Los Chavalones,,+1-323-503-3087,,,Los Angeles,CA,P4 | Class B | website has objective flaws | http://www.carwashhere.com/car-wash-detail-los-chavalones-los-angeles-ca/,,Car Washes
Expert Car Wash,,+1-323-938-1777,,,Los Angeles,CA,P4 | Class B | website has objective flaws | https://expertcarwashla.com/,,Car Washes
G&M Car Wash,,+1-562-863-7927,,,Norwalk,CA,P4 | Class B | website has objective flaws | https://www.gmoc.com/,,Car Washes
Googie Car Wash,,+1-562-464-0000,,,Norwalk,CA,P4 | Class B | website has objective flaws | https://googiecarwash.com/,,Car Washes
Palmdale Express Car Wash,,+1-661-266-1690,,,Palmdale,CA,P4 | Class B | website has objective flaws | https://palmdalecarwash.com/,,Car Washes
Pro Wash,,+1-661-526-3129,,,Palmdale,CA,P4 | Class B | website has objective flaws | https://prowash1.com/,,Car Washes
Royal Spa Carwash,,+1-661-265-9936,,,Palmdale,CA,P4 | Class B | website has objective flaws | https://royalspacarwash.com/,,Car Washes
The Classy Finish,,+1-818-322-8384,,,Palmdale,CA,P4 | Class B | website has objective flaws | https://www.theclassyfinish.com/,,Car Washes
EuroLux Mobile Detailing,,+1-626-497-8297,,,Pasadena,CA,P4 | Class B | website has objective flaws | http://euroluxmobiledetailing.com/,,Car Washes
Lucky Car Wash,,+1-626-796-4888,,,Pasadena,CA,P4 | Class B | website has objective flaws | http://www.luckycarwash.com/,,Car Washes
Speedy Clean Express Car Wash,,+1-909-447-2005,,,Pomona,CA,P4 | Class B | website has objective flaws | http://speedycleanexpress.com/,,Car Washes
BLISS Car Wash - Santa Clarita,,+1-800-697-7459,,,Santa Clarita,CA,P4 | Class B | website has objective flaws | https://blisscarwash.com/,,Car Washes
Dapper Dan's Car Wash,,+1-888-244-1606,,,Santa Clarita,CA,P4 | Class B | website has objective flaws | http://www.dapperdanscarwash.com/,,Car Washes
New Stevenson Ranch Car Wash,,+1-661-260-3002,,,Santa Clarita,CA,P4 | Class B | website has objective flaws | http://stevensonranchcarwash.com/,,Car Washes
Sierra Hwy Express Car Wash,,+1-661-977-1505,,,Santa Clarita,CA,P4 | Class B | website has objective flaws | https://sierrahwyexpresscarwash.com/,,Car Washes
Beach Cities Car Wash,,+1-310-822-9274,,,Santa Monica,CA,P4 | Class B | website has objective flaws | http://beachcitieswash.com/,,Car Washes
Bluewave Car Wash,,+1-310-474-6551,,,Santa Monica,CA,P4 | Class B | website has objective flaws | https://bluewaveexpress.com/,,Car Washes
Fernandez Mobile Detailing,,+1-323-239-6242,,,South Gate,CA,P4 | Class B | website has objective flaws | https://www.fernandezmobiledetailing.com/,,Car Washes
Green Street Developments,,+1-310-533-3878,,,Torrance,CA,P4 | Class B | website has objective flaws | http://www.greenstreetdevelopments.com/#!contact/cn3p,,Car Washes
Highridge CAR WASH,,+1-310-541-7663,,,Torrance,CA,P4 | Class B | website has objective flaws | http://www.highridgecarwash.com/,,Car Washes
The Bubble Community Car Wash,,+1-833-525-6980,,,Torrance,CA,P4 | Class B | website has objective flaws | http://thebubblecarwash.com/,,Car Washes
Alamo Hand Car Wash,,+1-626-965-7922,,,West Covina,CA,P4 | Class B | website has objective flaws | http://alamocarwash.org/,,Car Washes
Hacienda Express Car wash,,+1-626-333-9274,,,West Covina,CA,P4 | Class B | website has objective flaws | https://haciendaexpresscarwash.com/,,Car Washes
Lions Express Car Wash,,+1-626-338-6527,,,West Covina,CA,P4 | Class B | website has objective flaws | http://lionsexpresscarwash.com/,,Car Washes
Spot Free Car Wash,,+1-626-966-2244,,,West Covina,CA,P4 | Class B | website has objective flaws | http://spotfreecarwash.net/aboutcovina.htm,,Car Washes
Sun Day Carwash,,+1-626-587-0044,,,West Covina,CA,P4 | Class B | website has objective flaws | https://www.sundaycarwash.com/,,Car Washes
DazzlingAutoDetailing,,+1-562-551-0202,,,Whittier,CA,P4 | Class B | website has objective flaws | https://dazdetailingservices.my.canva.site/,,Car Washes
Pico Rivera Car Wash,,+1-562-447-4844,,,Whittier,CA,P4 | Class B | website has objective flaws | http://picoriveracarwash.com/,,Car Washes
Riviera 5 Minute Express Wash,,+1-562-695-5600,,,Whittier,CA,P4 | Class B | website has objective flaws | https://riviera5minuteexpress.com/,,Car Washes
Wash & Go Carwash,,+1-818-835-9242,,,Whittier,CA,P4 | Class B | website has objective flaws | https://www.washgo.com/,,Car Washes
WildWave Car Wash,,+1-818-319-3383,,,Whittier,CA,P4 | Class B | website has objective flaws | https://wildwavecarwash.com/,,Car Washes
Ray Mobile Wash,,+1-323-868-2733,,,Ontario,CA,P4 | Class B | website has objective flaws | https://www.raymobilewash.com/,,Car Washes
Versus Auto Detailing,,+1-661-742-3851,,,Chula Vista,CA,P4 | Class B | website has objective flaws | https://taplink.cc/versusautodetailing?fbclid=PAZXh0bgNhZW0CMTEAAabF3Ju0GQrYo7AVoNlbTH5YrgXskHvF3sORnqL18SONq0Ces4D41BsEvfo_aem_sfbp3cv5AcOOEdDvTqI9Ow,,Car Washes
Calabasas Auto Spa and Detail,,+1-818-222-3877,,,Simi Valley,CA,P4 | Class B | website has objective flaws | http://www.calabasasautospa.com/,,Car Washes
