Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Hard 2 Top Mobile Detail,,+1-510-755-4738,,"4100 Redwood Rd 20A- 706, Oakland, CA 94619, United States",Alameda,CA,P4 | Class B | website has issues | http://www.hard2topdetail.com/,,Car Detailers
Black Label Car Detailing Yorba Linda,,+1-714-844-0217,,"5303 Stonehaven Dr, Yorba Linda, CA 92887, United States",Anaheim,CA,P4 | Class B | website has issues | https://blacklabelcardetailingyorbalinda.com/,,Car Detailers
CC's Mobile Detailing,,+1-714-390-9997,,,Anaheim,CA,P4 | Class B | website has issues | https://poplme.co/hash/G5amgRX7/1/s,,Car Detailers
Costa Mobile Detailing,,+1-714-904-2702,,"12913 Harbor Blvd Ste Q-3, Garden Grove, CA 92840, United States",Anaheim,CA,P4 | Class B | website has issues | http://costamobiledetailing.com/,,Car Detailers
Detailer stop Inc,,+1-657-258-0210,,"3325 E Miraloma Ave #121, Anaheim, CA 92806, United States",Anaheim,CA,P4 | Class B | website has issues | https://detailerstop.com/,,Car Detailers
Diamond Coat Mobile Car Detailing Anaheim,,+1-714-970-4966,,"1021 E Lacy Ave, Anaheim, CA 92805, United States",Anaheim,CA,P4 | Class B | website has issues | http://diamomdcoatmobilecardetailing.shop/,,Car Detailers
Double A Detail,,+1-714-478-0556,,"316 W Hampshire Ave, Anaheim, CA 92805, United States",Anaheim,CA,P4 | Class B | website has issues | http://doubleacarwash.wixsite.com/doublea,,Car Detailers
GC's Auto Detailing,,+1-714-726-5161,,"706 E Wilson Ave, Orange, CA 92867, United States",Anaheim,CA,P4 | Class B | website has issues | https://www.gcsautodetailing.com/,,Car Detailers
Glam Dash Auto Detailing,,+1-714-492-8467,,"2060 N Park Ln, Orange, CA 92865, United States",Anaheim,CA,P4 | Class B | website has issues | https://glamdashautodetailing.site/,,Car Detailers
Great Shine Mobile Car Detailing,,+1-714-947-4072,,"1537 W Beacon Ave, Anaheim, CA 92802, United States",Anaheim,CA,P4 | Class B | website has issues | http://greatshinemobiledetailing.shop/,,Car Detailers
Hard Coat Car Detailing,,+1-657-239-3423,,"18251 Sharon Ln, Villa Park, CA 92861, United States",Anaheim,CA,P4 | Class B | website has issues | https://hardcoatcardetailing.site/,,Car Detailers
Legit Coat Car Detailing,,+1-714-455-3053,,"6635 Moselle Cir, Yorba Linda, CA 92886, United States",Anaheim,CA,P4 | Class B | website has issues | https://legitcoatcardetailing.site/,,Car Detailers
Luna Glow Auto Detailing Anaheim,,+1-714-844-4178,,"1725 Auburn Way, Anaheim, CA 92805, United States",Anaheim,CA,P4 | Class B | website has issues | https://lunaglowautodetailinganaheim.com/,,Car Detailers
Luxorade Car Detailing,,+1-714-577-2834,,"140 S Highland Ave, Placentia, CA 92870, United States",Anaheim,CA,P4 | Class B | website has issues | https://luxoradecardetailing.site/,,Car Detailers
Mint Glitz Auto Detailing,,+1-714-515-7991,,"400 W Orangethorpe Ave, Fullerton, CA 92832, United States",Anaheim,CA,P4 | Class B | website has issues | https://mintglitzautodetailing.site/,,Car Detailers
Mirror Touch Auto Detailing,,+1-657-695-0902,,"3030 E Jackson Ave, Anaheim, CA 92806, United States",Anaheim,CA,P4 | Class B | website has issues | https://mirrortouchautodetailing.site/,,Car Detailers
Mobile Express Detailing,,+1-714-609-5065,,"375 W Birch St, Brea, CA 92821, United States",Anaheim,CA,P4 | Class B | website has issues | http://orangecountyautodetailing.biz/,,Car Detailers
Mr. Glossed,,+1-952-228-4495,,"4171 Denver Ave, Yorba Linda, CA 92886, United States",Anaheim,CA,P4 | Class B | website has issues | https://mrglossed.com/,,Car Detailers
Newport Beach Car Detailer,,+1-714-310-4412,,"221 S Camino De Paz, Anaheim, CA 92807, United States",Anaheim,CA,P4 | Class B | website has issues | http://www.newportbeachcardetailer.com/,,Car Detailers
Precision Coat Car Detailing,,+1-657-567-4428,,"435 S Chatham Cir, Anaheim, CA 92806, United States",Anaheim,CA,P4 | Class B | website has issues | https://precisioncoatcardetailing.site/,,Car Detailers
ProSmart Mobile Detailing,,+1-714-471-9772,,"2535 E Sandalwood Ct, Anaheim, CA 92806, United States",Anaheim,CA,P4 | Class B | website has issues | http://www.prosmartdetailing.com/,,Car Detailers
Quality Coat Car Detailing,,+1-714-276-6707,,"1525 S Euclid St, Anaheim, CA 92804, United States",Anaheim,CA,P4 | Class B | website has issues | https://qualitycoatcardetailing.site/,,Car Detailers
Royal Mobile Detailing,,+1-714-787-9635,,"20 City Blvd W, Orange, CA 92868, United States",Anaheim,CA,P4 | Class B | website has issues | https://royalmobilecardetailing.com/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAdGRleAS6hJtwZG9mAmV4dG4DYWVtAjExAHNydGMGYXBwX2lkDzEyNDAyNDU3NDI4NzQxNAABpykK8dj0y2csWlwQBalln9eG1ePjnWpxwH-Sa0D3cowcvvUmK65roo2NFP80_aem_U2mLp55vefgOfPUYKB01eQ,,Car Detailers
ShinyFleet Mobile Car Detailing Anaheim,,+1-714-613-8610,,"771 S Mosaic St, Anaheim, CA 92805, United States",Anaheim,CA,P4 | Class B | website has issues | https://shinyfleetmobiledetailing.shop/,,Car Detailers
Socal eternaldetail,,+1-714-747-2407,,,Anaheim,CA,P4 | Class B | website has issues | http://www.socaleternaldetail.com/,,Car Detailers
Top Auto Shine Mobile Detailing,,+1-714-357-2817,,,Anaheim,CA,P4 | Class B | website has issues | https://topautoshinedetailing.com/,,Car Detailers
Vetra Car Detailing Garden Grove,,+1-714-589-8778,,"12151 Bayport St, Garden Grove, CA 92840, United States",Anaheim,CA,P4 | Class B | website has issues | https://vetracardetailinggardengrove.site/,,Car Detailers
W.O.W Detailing LLC,,+1-657-340-7957,,"2400 E Katella Ave, Anaheim, CA 92806, United States",Anaheim,CA,P4 | Class B | website has issues | http://www.wowdetailingllc.com/,,Car Detailers
Yorba Linda Elite Auto Detailing,,+1-714-468-8585,,"22911 Savi Ranch Pkwy, Yorba Linda, CA 92887, United States",Anaheim,CA,P4 | Class B | website has issues | http://www.yorbalindaeliteautodetailing.com/,,Car Detailers
All The Little Details,,+1-209-896-8062,,"307 Fairway Village Dr, Murphys, CA 95247, United States",Angels Camp,CA,P4 | Class B | website has issues | https://www.alllittledetails.com/,,Car Detailers
Boosted Auto Salon,,+1-209-352-9465,,,Angels Camp,CA,P4 | Class B | website has issues | https://cguidry891.wixsite.com/boostedautosalon-1,,Car Detailers
A70 Detailing,,+1-925-587-4895,,"2529 Mammoth Way, Antioch, CA 94531, United States",Antioch,CA,P4 | Class B | website has issues | https://www.a70detailing.com/,,Car Detailers
AC QuickShine Mobile Detail,,+1-925-383-7852,,"W 10th St, Antioch, CA 94509, United States",Antioch,CA,P4 | Class B | website has issues | https://www.acquickshine.com/,,Car Detailers
Brayan’s Mobile Auto Detailing,,+1-925-726-8867,,,Antioch,CA,P4 | Class B | website has issues | https://brayansmobileautodetailing.com/,,Car Detailers
Diamond Detailing,,+1-925-428-0182,,,Antioch,CA,P4 | Class B | website has issues | https://diamonddetailing66.godaddysites.com/?utm_source=ig&utm_medium=social&utm_content=link_in_bio,,Car Detailers
Driven2Detail,,+1-707-564-7099,,,Antioch,CA,P4 | Class B | website has issues | http://driven2detailca.com/,,Car Detailers
JDI Detailing – Auto Detailing,,+1-925-409-0127,,"792 Peachwillow Dr, Brentwood, CA 94513, United States",Antioch,CA,P4 | Class B | website has issues | https://www.jdidetailing.com/,,Car Detailers
JJ's Elite Details - Premium PPF & Ceramic Coatings,,+1-707-470-7175,,"1806 Verne Roberts Cir, Antioch, CA 94509, United States",Antioch,CA,P4 | Class B | website has issues | https://www.jjselitedetails.com/,,Car Detailers
Just unique auto Detailing,,+1-925-206-8288,,"2201 W 10th St Ste E, Antioch, CA 94509, United States",Antioch,CA,P4 | Class B | website has issues | http://justuniquedetailing.com/,,Car Detailers
NC DETAIL- MOBILE DETAILING SERVICE,,+1-925-954-4939,,,Antioch,CA,P4 | Class B | website has issues | https://www.ncmobiledetail.com/,,Car Detailers
WASHED,,+1-925-308-3916,,"2243 Hemet Ct, Brentwood, CA 94513, United States",Antioch,CA,P4 | Class B | website has issues | http://www.washedmobiledetailing.com/,,Car Detailers
Humboldt Mobile Detailing,,+1-707-382-8374,,,Arcata,CA,P4 | Class B | website has issues | http://humboldtmobiledetailing.com/,,Car Detailers
Lost Coast Motorsports,,+1-707-376-8863,,"4665 West End Rd, Arcata, CA 95521, United States",Arcata,CA,P4 | Class B | website has issues | https://lostcoastoutpost.com/lowdown/venues/lost-coast-motorsports/,,Car Detailers
Pristine Auto Detail,,+1-707-828-7454,,"76 S G St, Arcata, CA 95521, United States",Arcata,CA,P4 | Class B | website has issues | https://pristine-auto-detail.com/,,Car Detailers
West Coast Auto Detailing,,+1-707-825-1241,,"437 G St Unit B, Arcata, CA 95521, United States",Arcata,CA,P4 | Class B | website has issues | http://www.westcoastautodetailing.net/,,Car Detailers
Absolute Detailing Bako,,+1-661-516-5054,,,Bakersfield,CA,P4 | Class B | website has issues | https://absolutedetailingbako.com/,,Car Detailers
Boosted Detailing,,+1-661-689-6662,,,Bakersfield,CA,P4 | Class B | website has issues | https://www.boosted-detailing.com/,,Car Detailers
DLG Auto Detail,,+1-661-477-2082,,"6013 Fair Oaks Dr, Bakersfield, CA 93306, United States",Bakersfield,CA,P4 | Class B | website has issues | http://www.dlgautodetail.com/,,Car Detailers
Detailed Detailers,,+1-661-800-8469,,"9800 Cimarron Trails Dr, Bakersfield, CA 93311, United States",Bakersfield,CA,P4 | Class B | website has issues | http://www.ceramicprobakersfield.com/,,Car Detailers
EXODUS AUTO DETAILING LLC,,+1-661-788-9692,,,Bakersfield,CA,P4 | Class B | website has issues | https://exodusautodetailing.com/,,Car Detailers
Exclusive Auto Detailing LLC,,+1-661-717-3637,,,Bakersfield,CA,P4 | Class B | website has issues | http://www.exclusiveautodetailing.org/,,Car Detailers
Hernandez Mobile Car Wash & Detail,,+1-661-912-9134,,,Bakersfield,CA,P4 | Class B | website has issues | https://hernandezmobilecar.wixsite.com/hernandez-mobile,,Car Detailers
J's Detail Center,,+1-661-619-5264,,"3400 Bowman Ct, Bakersfield, CA 93308, United States",Bakersfield,CA,P4 | Class B | website has issues | http://jsmobilewash.com/,,Car Detailers
Mr. Clean Auto Detailing,,+1-805-336-3738,,"1435 S Union Ave, Bakersfield, CA 93307, United States",Bakersfield,CA,P4 | Class B | website has issues | https://www.mrcleanautodetailing661.com/,,Car Detailers
Proto car detailing,,+1-661-451-7543,,"9900 Lightner Way, Bakersfield, CA 93311, United States",Bakersfield,CA,P4 | Class B | website has issues | http://mobiledetailing.site/,,Car Detailers
Royal Detailing,,+1-661-497-8795,,"Shaver Dr, Bakersfield, CA 93313, United States",Bakersfield,CA,P4 | Class B | website has issues | http://royaldetailingbako.com/,,Car Detailers
Smooth Sail Mobile Detail,,+1-661-421-9009,,"4512 Barry St, Bakersfield, CA 93307, United States",Bakersfield,CA,P4 | Class B | website has issues | https://sites.google.com/view/smooth-sail-auto-detail/home,,Car Detailers
Unique Auto Spa,,+1-661-717-9808,,"3740 Sillect Ave #2c, Bakersfield, CA 93308, United States",Bakersfield,CA,P4 | Class B | website has issues | http://uniqueautospaca.com/,,Car Detailers
White Glove Mobile Car Wash & Detail,,+1-661-602-4666,,,Bakersfield,CA,P4 | Class B | website has issues | https://alliancegandp.wixsite.com/white-glove-mobile-c,,Car Detailers
Aesthetic Auto Detailing LLC,,+1-626-893-6810,,"1020 Eclipse Way, West Covina, CA 91792, United States",Baldwin Park,CA,P4 | Class B | website has issues | https://www.aestheticautodetailing.com/,,Car Detailers
BR Mobile Detailing,,+1-984-528-2296,,,Baldwin Park,CA,P4 | Class B | website has issues | http://brdetailing.lovable.app/,,Car Detailers
Car Bath Mobile Detailing,,+1-626-470-7359,,,Baldwin Park,CA,P4 | Class B | website has issues | https://www.carbathmobiledetailing.com/,,Car Detailers
Car detailing / Mobile Detailing & Co.,,+1-626-848-6344,,,Baldwin Park,CA,P4 | Class B | website has issues | https://sites.google.com/view/mobiledetailnco/home,,Car Detailers
Headlight Restoration Shark - Mobile Service,,+1-626-522-5002,,"13429 Tracy St, Baldwin Park, CA 91706, United States",Baldwin Park,CA,P4 | Class B | website has issues | https://docs.google.com/forms/d/e/1FAIpQLSf1Vy1jnzjN6V8myjoFfuhDv4QQt3PraSD0VYL-xvk6WR_Hfg/viewform?usp=publish-editor,,Car Detailers
Magician Pro Detailing,,+1-626-324-8368,,,Baldwin Park,CA,P4 | Class B | website has issues | https://magicianprodetailing.net/,,Car Detailers
Mr. Lai's Mobile Detailing Services,,+1-323-558-2652,,,Baldwin Park,CA,P4 | Class B | website has issues | http://mrlaidetailing.com/,,Car Detailers
Plan A Auto Spa,,+1-626-224-6127,,"222 N Dalton Ave, Azusa, CA 91702, United States",Baldwin Park,CA,P4 | Class B | website has issues | https://www.planaautospa.net/,,Car Detailers
RYNO Classics,,+1-626-873-4410,,,Baldwin Park,CA,P4 | Class B | website has issues | https://rynoclassics.com/,,Car Detailers
SGV Luxurious Detail,,+1-626-423-6964,,"2516 Troy Ave, South El Monte, CA 91733, United States",Baldwin Park,CA,P4 | Class B | website has issues | http://sgvluxuriousdetail.com/,,Car Detailers
Squeegee Mobile Detailing,,+1-323-542-3857,,,Baldwin Park,CA,P4 | Class B | website has issues | https://wcueto93.wixsite.com/my-site,,Car Detailers
The Detail Truck,,+1-626-343-2893,,"710 S Myrtle Ave PMB 631, Monrovia, CA 91016, United States",Baldwin Park,CA,P4 | Class B | website has issues | http://www.thedetailtruck.com/,,Car Detailers
Ultra Auto Detailing LLC,,+1-626-678-3624,,,Baldwin Park,CA,P4 | Class B | website has issues | https://book.heygoldie.com/Ultra-Auto-Detailing-Llc,,Car Detailers
Unrated Mobile Detail,,+1-626-232-0430,,,Baldwin Park,CA,P4 | Class B | website has issues | https://web.detailconnect.app/u=unrated-mobile-detailing--4NG8XC,,Car Detailers
Garcia's Mobile Wash and Detail,,+1-562-326-6584,,,Bellflower,CA,P4 | Class B | website has issues | https://www.garciasmobilewashca.com/,,Car Detailers
Neat Touch Mobile Detailing,,+1-562-612-9660,,,Bellflower,CA,P4 | Class B | website has issues | https://book.heygoldie.com/neat-touch,,Car Detailers
Omni Detailing,,+1-562-737-5925,,"2892 N Bellflower Blvd, Long Beach, CA 90815, United States",Bellflower,CA,P4 | Class B | website has issues | http://omni-detailing.com/,,Car Detailers
Pioneer Mobile Detailing,,+1-562-965-0813,,,Bellflower,CA,P4 | Class B | website has issues | https://pioneermobiledetail.com/,,Car Detailers
Shine & Protect Mobile Detailing,,+1-562-740-8659,,"20919 Bloomfield Ave, Lakewood, CA 90715, United States",Bellflower,CA,P4 | Class B | website has issues | https://shineandprotectdetailing.com/,,Car Detailers
Xtreme Detail LLC (Mobile Detailing),,+1-510-927-1390,,,Benicia,CA,P4 | Class B | website has issues | https://www.xtremedetail.co/,,Car Detailers
510 Mobile Detail,,+1-510-939-1594,,"1024 Avocet Dr, Hercules, CA 94547, United States",Berkeley,CA,P4 | Class B | website has issues | http://www.510mobiledetail.com/,,Car Detailers
Auto Presentation Details,,+1-415-374-4848,,"2821 Shattuck Ave., Berkeley, CA 94705, United States",Berkeley,CA,P4 | Class B | website has issues | http://autopresentationservices.com/,,Car Detailers
Cassius Mobile Car Detailing of North Beach,,+1-510-890-7568,,"1232 Pacific Ave, San Francisco, CA 94109, United States",Berkeley,CA,P4 | Class B | website has issues | https://cassiusmobilecardetailingsf.site/,,Car Detailers
Lux Mobile Car Wash,,+1-510-304-8457,,"792 Old County Rd, Belmont, CA 94002, United States",Berkeley,CA,P4 | Class B | website has issues | https://lux-auto-spa.base44.app/,,Car Detailers
Peoples Car Wash - Mobile Detailing Services,,+1-510-978-7603,,"1894 University Ave, Berkeley, CA 94703, United States",Berkeley,CA,P4 | Class B | website has issues | http://www.peoplescarwash.com/,,Car Detailers
Taj's Car Wash,,+1-510-365-5023,,,Berkeley,CA,P4 | Class B | website has issues | http://www.berkeleycarwash.com/#!contact/c1cv0,,Car Detailers
Supreme Glow Auto Detailing,,+1-650-586-0012,,,Brentwood,CA,P4 | Class B | website has issues | https://www.supremeglowdetailing.com/,,Car Detailers
9 Zeroh Mobile Detailing,,+1-424-264-6654,,,Buena Park,CA,P4 | Class B | website has issues | https://www.9zerohdetailing.autos/?book=1,,Car Detailers
AP Details Car Detailing,,+1-562-708-1735,,,Buena Park,CA,P4 | Class B | website has issues | https://www.apprecisiondetailing.com/home,,Car Detailers
Blacktop Auto Detailing,,+1-714-559-3882,,"7000 La Palma Ave, Buena Park, CA 90620, United States",Buena Park,CA,P4 | Class B | website has issues | https://blacktopautodetailing.site/,,Car Detailers
Bonnie car detailing Buena Park,,+1-657-701-3431,,"7591 Knott Ave, Buena Park, CA 90620, United States",Buena Park,CA,P4 | Class B | website has issues | https://bonniecardetailingbuenapark.site/,,Car Detailers
Clarity Automotive Detailing,,+1-757-477-7006,,,Buena Park,CA,P4 | Class B | website has issues | https://clarity-auto-detailing.my.canva.site/,,Car Detailers
Detailing on Demand,,+1-833-355-6912,,,Buena Park,CA,P4 | Class B | website has issues | http://www.dodmobiledetail.com/,,Car Detailers
Dr Detail,,+1-714-870-8555,,"1115 W Orangethorpe Ave, Fullerton, CA 92833, United States",Buena Park,CA,P4 | Class B | website has issues | https://drdetailfullerton.wixsite.com/detail,,Car Detailers
Elite Custom Detailing,,+1-714-452-7376,,,Buena Park,CA,P4 | Class B | website has issues | https://web.detailconnect.app/u=elite-custom-detailing-J6LC1L,,Car Detailers
Ice Cold Car Detailing Cypress,,+1-714-551-9097,,"Alice Cir, Cypress, CA 90630, United States",Buena Park,CA,P4 | Class B | website has issues | http://icecoldcardetailingcypress.site/,,Car Detailers
Jules Elite Films,,+1-714-699-3516,,"5870 Dale St, Buena Park, CA 90621, United States",Buena Park,CA,P4 | Class B | website has issues | http://juleselitefilms.com/,,Car Detailers
MRod's Paint Correction & Ceramic Coating,,+1-714-330-7615,,"5188 Sowma Way, Cypress, CA 90630, United States",Buena Park,CA,P4 | Class B | website has issues | https://mrodsgarage.com/,,Car Detailers
MYLA Car Detailing Stanton,,+1-657-567-4341,,"7961 Orangewood Ave, Stanton, CA 90680, United States",Buena Park,CA,P4 | Class B | website has issues | https://mylacardetalingstanton.site/,,Car Detailers
Mo's Essentials Auto Detailing,,+1-657-255-8597,,,Buena Park,CA,P4 | Class B | website has issues | http://mosessentials.com/,,Car Detailers
the auto detail guys garage,,+1-562-661-3408,,"1040 S Cypress St Ste B, La Habra, CA 90631, United States",Buena Park,CA,P4 | Class B | website has issues | https://theautodetailguys.com/,,Car Detailers
Astro Mobile Detailing,,+1-424-279-0802,,,Burbank,CA,P4 | Class B | website has issues | https://astro-mobile-detailing.com/,,Car Detailers
Auto Detail Supplies Outlet,,+1-818-452-1955,,"12840 Victory Blvd, Valley Glen, CA 91606, United States",Burbank,CA,P4 | Class B | website has issues | https://autodetailsuppliesoutletnoho.com/?utm_source=gmb&utm_medium=referral,,Car Detailers
California Detail Shop,,+1-818-500-0445,,"453 Colorado Blvd, Glendale, CA 91204, United States",Burbank,CA,P4 | Class B | website has issues | http://www.california-detail.com/,,Car Detailers
Cayman's Auto Spa,,+1-747-228-9668,,,Burbank,CA,P4 | Class B | website has issues | https://caymansautospa.com/,,Car Detailers
Ceramic Pro Burbank,,+1-818-925-0735,,"2800 N San Fernando Blvd, Burbank, CA 91504, United States",Burbank,CA,P4 | Class B | website has issues | http://www.ceramicproburbank.com/,,Car Detailers
ECO Mobile Detailing,,+1-323-371-4273,,"Parking Garage, 8000 Sunset Blvd Level P1, Los Angeles, CA 90046, United States",Burbank,CA,P4 | Class B | website has issues | http://www.ecomobiledetailing.com/,,Car Detailers
Elite Mobile Auto Detailers,,+1-818-281-2004,,,Burbank,CA,P4 | Class B | website has issues | https://elitemobileautodetailers.com/,,Car Detailers
Glendale 5Star Fresh Mobile Detailing,,+1-714-831-5436,,"522 S Everett St, Glendale, CA 91205, United States",Burbank,CA,P4 | Class B | website has issues | https://5starfreshdetailing.com/,,Car Detailers
Honest Mobile Detailing,,+1-401-632-1631,,,Burbank,CA,P4 | Class B | website has issues | https://www.honestdetailing.com/,,Car Detailers
Impressive Detailing,,+1-747-310-6790,,"11784 Sheldon St unit 2, Sun Valley, CA 91352, United States",Burbank,CA,P4 | Class B | website has issues | http://www.impressivedetailing.com/,,Car Detailers
L&J Mobile Detailing LLC,,+1-626-838-7005,,"100 W Broadway, Glendale, CA 91210, United States",Burbank,CA,P4 | Class B | website has issues | https://lnjmobiledetail.com/,,Car Detailers
Mobile Hand Wash LA,,+1-310-678-5683,,,Burbank,CA,P4 | Class B | website has issues | https://www.mobilehandwashla.com/,,Car Detailers
ProShine Mobile Car Wash Glendale,,+1-818-934-9542,,"201 E Chestnut St, Glendale, CA 91205, United States",Burbank,CA,P4 | Class B | website has issues | https://web.detailconnect.app/u=proshine-QM2Y08,,Car Detailers
ShinePros Wash & Detail,,+1-818-875-0444,,"6405 Wilkinson Ave, North Hollywood, CA 91606, United States",Burbank,CA,P4 | Class B | website has issues | https://shineprosnh.com/,,Car Detailers
Supreme Sunshine Mobile Detailing,,+1-323-943-5559,,,Burbank,CA,P4 | Class B | website has issues | https://www.supremesunshinemd.com/,,Car Detailers
Angelo's Auto Detailing,,+1-805-329-3649,,,Camarillo,CA,P4 | Class B | website has issues | https://pocketsuite.io/link/angelos-auto-detailing,,Car Detailers
DD’s Car Detailing,,+1-833-829-2680,,"3321 Madera Pl, Oxnard, CA 93033, United States",Camarillo,CA,P4 | Class B | website has issues | http://ddscardetailing.com/,,Car Detailers
DK Mobile Wash - Camarillo,,+1-805-833-0167,,"5227 Mission Oaks Blvd, Camarillo, CA 93012, United States",Camarillo,CA,P4 | Class B | website has issues | https://dkmobilewashventura.com/,,Car Detailers
Detail Chicks Mobile Detailing Services,,+1-805-394-8833,,"3851 Harbour Island Ln, Oxnard, CA 93035, United States",Camarillo,CA,P4 | Class B | website has issues | http://detailchicks.com/,,Car Detailers
Exotic Auto Mobile Detailing,,+1-805-794-2948,,,Camarillo,CA,P4 | Class B | website has issues | https://jesus212222.wixsite.com/exotic-auto-detailin,,Car Detailers
Lustra Detail Company,,+1-805-626-0540,,,Camarillo,CA,P4 | Class B | website has issues | https://lustradetail.co/,,Car Detailers
Melgoza Mobile Detailing - Camarillo,,+1-805-814-5691,,"2249 Pickwick Dr, Camarillo, CA 93010, United States",Camarillo,CA,P4 | Class B | website has issues | https://melgozadetailing.com/,,Car Detailers
Mike's Pro Detail,,+1-818-381-9905,,,Camarillo,CA,P4 | Class B | website has issues | https://www.fulldetailpro.com/,,Car Detailers
New Millennium Mobile Car Wash & Auto Detail,,+1-805-276-7171,,"Oxnard, CA 93030, United States",Camarillo,CA,P4 | Class B | website has issues | https://www.nmautodetail.com/,,Car Detailers
Supreme Auto Detail,,+1-805-444-7630,,"1180 Newbury Rd, Newbury Park, CA 91320, United States",Camarillo,CA,P4 | Class B | website has issues | http://supremedetailca.com/,,Car Detailers
TLC Auto Interior Detailing,,+1-805-407-3594,,"4023 Camino Ranchero # I, Camarillo, CA 93012, United States",Camarillo,CA,P4 | Class B | website has issues | http://www.tlc4auto.com/,,Car Detailers
Teel Premium Auto Detailing Inc.,,+1-805-504-7933,,"601 N Del Norte Blvd Unit F, Oxnard, CA 93030, United States",Camarillo,CA,P4 | Class B | website has issues | https://teelmobiledetailing.com/,,Car Detailers
All In Mobile Detail,,+1-760-583-7217,,,Carlsbad,CA,P4 | Class B | website has issues | https://allinmobiledetail.com/,,Car Detailers
Autoluxx Car Detailing,,+1-760-983-7644,,"1206 Camino Lorado, San Marcos, CA 92078, United States",Carlsbad,CA,P4 | Class B | website has issues | https://autoluxxcardetailing.shop/,,Car Detailers
Ben & Jared's CAD,,+1-442-232-9631,,,Carlsbad,CA,P4 | Class B | website has issues | http://benandjaredscad.com/,,Car Detailers
Carlsbad Auto Restoration Detailing Service,,+1-760-239-7871,,"5857 Owens Ave #300, Carlsbad, CA 92008, United States",Carlsbad,CA,P4 | Class B | website has issues | https://carlsbadautodetailing.com/,,Car Detailers
Coastal Glow Car Detailing,,+1-206-963-2311,,"847 Laguna Dr, Carlsbad, CA 92008, United States",Carlsbad,CA,P4 | Class B | website has issues | http://coastalglowcardetailing.shop/,,Car Detailers
Dunphys Mobile Detailing & Ceramic Coating La Costa Ca,,+1-760-607-8259,,"3498 Corte Fortuna, Carlsbad, CA 92009, United States",Carlsbad,CA,P4 | Class B | website has issues | https://dunphysmobiledetailing.com/,,Car Detailers
EcoLux Detailing,,+1-760-216-2026,,,Carlsbad,CA,P4 | Class B | website has issues | https://ecoluxdetailing.com/,,Car Detailers
Fierce Mobile Detailing,,+1-760-712-5983,,,Carlsbad,CA,P4 | Class B | website has issues | http://fiercemobiledetailing.com/,,Car Detailers
