origin,niche,stable_id,business_name,published_business_phone,candidate_website_url,lead_class,city,county,state,website_state
engine-v2,car-washes,google_maps:data_id:0x808ff2c270a37f11:0xefe87a14791d4aa,Sponges Car Wash & Detail Center,+1-925-901-1400,,A,Dublin,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808fe9c5e1f74663:0xcddcf4165d26716b,Happy Car Spa Dublin,+1-925-452-4430,https://www.happycarspadublin.com/,B,Dublin,Alameda,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x808fe9307578783f:0xbff9c210bd53b9b0,Pleasanton Hand Car Wash,+1-925-225-1777,http://www.pleasantonhandcarwash.com/,B,Dublin,Alameda,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0xaba1a498b1a498f7:0xdb2ccd06ba18638e,Prestige Gloss Detailing,+1-628-227-7722,http://www.prestigeglossdetail.com/,B,Dublin,Alameda,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x8deae79396c29861:0xa793da8854e8da73,Spot On Mobile Wash and Detailing,+1-925-549-8260,http://www.mobilespotoncalifornia.com/,B,Dublin,Alameda,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x808fed31db7929bd:0xaf202091234f42d5,Vantablack Detailing,+1-925-791-0069,,A,Dublin,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x841d7fc3576b03f1:0xdefb46b6aebbe924,AP’s Mobile Detailing,+1-408-373-6093,,A,Fremont,Santa Clara,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0xd2b10d29aefa325:0xaab779a4463c4cbc,Apex Auto Detailing,+1-341-345-5869,https://goblin-guard-08717413.figma.site/,B,Fremont,Alameda,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x808fbf9df858dd8f:0x194ffe91b20a0045,Autopia Car Wash - Fremont,+1-510-713-2877,http://www.autopiacarwash.com/,B,Fremont,Alameda,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x808fbe515156ba3b:0x8ccaf7fb3adafcc2,Autopia Car Wash - Newark,+1-510-797-1623,http://www.autopiacarwash.com/,B,Fremont,Alameda,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x808fc75541fe51c7:0x58b00c80003e8998,Carwash,+1-510-319-3433,,A,Fremont,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808fc11e53c98229:0xd7bf7467e828a73,Civic Center Car Wash,+1-510-257-6224,,A,Fremont,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x29c1517ec4b10cf9:0xc8829dd7d27909a2,Emerald Luxe Mobile Detailing,+1-510-605-0622,,A,Fremont,San Mateo,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808fc0cef5654db9:0x89b5c8c9a1e002d2,Irwins Car Wash,+1-510-516-5393,,A,Fremont,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808fbfac4d6392d3:0xfa9a162255de9d49,JM DETAIL CENTER,+1-510-938-7704,,A,Fremont,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808fc7935308dbff:0xe130772695aa24f8,JetX Car Wash - Irvington Fremont,+1-888-491-6172,https://wash.jetxpress.com/,B,Fremont,Alameda,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x808fc0cd08ed42c9:0x23a246d529464491,Pacific Car Wash Corporation,+1-510-651-8515,,A,Fremont,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808fc6e0d5b1dcf1:0x6c34c09417db7c9f,Radiance Full Service Car Wash,+1-510-438-9513,,A,Fremont,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808fbee22f23a2d3:0x753573a9e6253b58,Self-Serve Power Wash,+1-510-608-4733,,A,Fremont,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808fc7163c5b108b:0x347cdd41b673770f,Super Station Car Wash & Lube,+1-510-252-1664,http://www.super-station.com/,B,Fremont,Alameda,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x808f950066881221:0x7fadbf35be58bb60,Auto detail miracle,+1-510-365-1713,,A,Hayward,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x809053f79e973c5b:0x8f51fd1489236aa3,Larios Mobil Detailing,+1-510-395-4808,,A,Hayward,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808f93de514ec7d9:0xabbac02a06e7dee1,Mission Hand Car Wash,+1-510-274-5456,,A,Hayward,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808f952f6495d76d:0xcf828882ef38db52,Neo Express Car Wash,+1-510-431-3700,http://www.neoexpresscarwash.com/,B,Hayward,Alameda,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0xbd990dfb9e91a63:0xf05c7cf98783b726,One Stop Shop Mobile Detailing & More,+1-510-365-6872,,A,Hayward,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808f933ee591bc69:0xe7038ef528138197,Sofía carwash,+1-510-485-4671,,A,Hayward,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808f95af53eafba3:0xe8b6a8d67fc99df3,Surfin' Autospa,+1-510-353-3844,,A,Hayward,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808f9500606b17c3:0x6ea07878580dd281,The Bay Area Auto Mobile Detailing,+1-346-407-9162,https://web.detailconnect.app/u=the-bay-area-car-wash-AD1DIL/add-new-vehicle,B,Hayward,Alameda,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x808f91540c41c281:0x4fb13580fa17f102,Wash Time Car Wash II,+1-510-381-8112,,A,Hayward,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808fe71d9886f999:0xa2caf95d69c8e2c0,Cactus Car Wash,+1-510-421-8998,,A,Livermore,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0xbbfe58337dcf8a3:0xb34dbcf4fa544c17,Prestige mobile detailing 925,+1-925-273-4082,,A,Livermore,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808fe7712c8f4b65:0x7fc0c2b7e5d4a9db,Sunshine cleaning and auto detailing services,+1-925-549-8021,,A,Livermore,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808f87bad5b9ee55:0x83879f5cf5f815ab,Autowash & Detailings,+1-510-499-3261,,A,Oakland,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808f8f1363c5d167:0xb89de0ad75031e81,Golflink Carwash,+1-510-633-9800,,A,Oakland,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808f87d5af5ddad3:0xcc6f2d944a48b945,Prime Detail Group,+1-424-245-8823,https://www.instagram.com/primedetailgroup_?igsh=NTc4MTIwNjQ2YQ==&utm_source=qr,A,Oakland,Alameda,CA,third_party_only
engine-v2,car-washes,google_maps:data_id:0x697ad50a752423b1:0x460f876bff00296a,Z's Mobile Car Wash,+1-510-916-0620,,A,Oakland,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0xa44da252df3e8eb1:0xc8dffb352ec7e75c,easy mobile detail,+1-215-571-5123,https://easymobiledetail.com/,A,Oakland,Solano,CA,broken_or_unreachable
engine-v2,car-washes,google_maps:data_id:0x808f91d1f2b7d1b7:0x651f7c0278f51c30,Bayfair Self Service Carwash,+1-510-707-9226,,A,San Leandro,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808f91890543180b:0xe7bdc7873d166f3d,Chabot Car Wash,+1-510-754-4948,,A,San Leandro,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x4a00b13b9dfd9aaf:0x2d5cc4c6d7356ccc,Exclusive shine car detailing mobile,+1-949-821-9050,http://exclusiveshinecardetailing.booksy.com/a/,A,San Leandro,Alameda,CA,third_party_only
engine-v2,car-washes,google_maps:data_id:0x808f91c305b8636b:0xe53df393fb442e0b,Foothill 100% Hand Car Wash,+1-510-276-7981,,A,San Leandro,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808f8574478b88f5:0xaee85f43c1cf752c,Kaady Chemical Corporation,+1-800-755-2239,https://www.kaadychemical.com/,B,San Leandro,Alameda,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x808f8fea99df9705:0xa23fea361a3d1fdb,Washington Avenue Car Wash,+1-510-483-7247,,A,San Leandro,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x8469b85c1a1c3e2f:0xa4e4749637025d27,Simply Detailing,+1-510-825-8425,,A,Union City,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x809cb5800b8c4c8b:0x627edec1c44a157c,Mod Wash,+1-530-570-7787,https://modern-wash.com/,A,Oroville,Butte,CA,broken_or_unreachable
engine-v2,car-washes,google_maps:data_id:0x809cb515dd574827:0x4dfdf026b461ca1c,Oroville Car Wash,+1-530-774-7350,http://orovillewash.com/,B,Oroville,Butte,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x809cb42ebde90f75:0xc74fcbb999a264a6,Pastime Auto Wash Express,+1-530-533-1396,http://pastimeautowash.com/,A,Oroville,Butte,CA,broken_or_unreachable
engine-v2,car-washes,google_maps:data_id:0x809095adccccbbc3:0x41b5d132dec39b62,Angels Camp Express Lube and Wash,+1-209-919-0767,http://angelscampexpress.com/,B,Angels Camp,Calaveras,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x8090bc167e1f1a33:0xfbdfa62a99e8b604,Murphy's Sierra Shine,+1-209-728-8497,,A,Angels Camp,Calaveras,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808559dddaf05bc3:0xfaf6eaecded98197,10th Street Self Service Car Wash,+1-925-349-9657,,A,Antioch,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x80855be39101a419:0xea28a48d93929c3b,APLL Auto Detailed Car Wash,+1-925-565-2348,,A,Antioch,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x65322bc0a590a931:0xd41e8b774dff1cf2,Andre’s Car Wash & Detail,+1-925-238-8402,,A,Antioch,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x476f26be034fe2dd:0xd7d846df569dbd78,Antioch Auto Detailing,+1-925-412-1655,,A,Antioch,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x8085594d4ac9bbb9:0x44345fcb2171c331,Drip n wash auto detail,+1-650-445-9976,,A,Antioch,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808ffe9a50695f8d:0x6103b1fd81122a00,Ducky's Car Wash Brentwood,+1-925-513-4460,http://duckysexpress.com/,B,Antioch,Contra Costa,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x808557277ddd269d:0x239c29ea4bcbb7b,Issac Mobile Detail,+1-925-477-1043,,A,Antioch,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808559d19637077b:0x26a36b26f2e9c9b4,Jack's Car Wash,+1-925-993-7009,https://www.facebook.com/Jacks-Car-Wash-174712486803715/,A,Antioch,Contra Costa,CA,third_party_only
engine-v2,car-washes,google_maps:data_id:0x80855b9b0fd65375:0xc610b52f636575e0,Kula and fahnbulleh mobile Detail service,+1-925-214-9942,,A,Antioch,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808ff9c2cb0f3bc9:0xf6e064e93c8adb1f,L U C E N T D E T A I L I N G,+1-925-508-4445,,A,Antioch,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808557f1ba71ed93:0x22476402caaa51eb,Luxury Car Wash,+1-925-695-5645,,A,Antioch,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808557a066ab7999:0xd5f510507cb2289,MRE Mobile Fleet Wash,+1-925-597-2996,,A,Antioch,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808ff9d5fdb9d315:0x1cb8b6c4b479e9e9,Monarch Auto Spa,+1-925-336-5165,,A,Antioch,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x82f8d5d653f00d11:0xc8f6b0dbaf4b96aa,Pona Luxury Detailed,+1-210-749-3667,https://linktr.ee/Pona.llc,A,Antioch,Contra Costa,CA,third_party_only
engine-v2,car-washes,google_maps:data_id:0x808557156182f245:0x370bc768637f4874,Super Clean Xpress Carwash Oakley,+1-916-659-6457,http://www.supercleanmycar.com/,B,Antioch,Contra Costa,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x62fbcfb302fe131b:0x161e453d1c39999a,Tino’s Mobile Detailing LLC,+1-510-550-5910,,A,Antioch,Alameda,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x80855e1f49f05353:0x18abb378aa5db12c,Autopia Car Wash - Concord,+1-925-687-1155,http://www.autopiacarwash.com/,B,Concord,Contra Costa,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x808567e4fc9ba3a5:0xde0f048750a2f95,Autopia Car Wash - PH,+1-925-849-4434,http://www.autopiacarwash.com/,B,Concord,Contra Costa,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x8594869419d12bef:0xec12c18448c67b83,CarlosMobileDetailing,+1-925-877-1038,,A,Concord,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x80855e3cd3628947:0xbe4a093fd15e5a5b,Clayton Hand Car Wash,+1-925-676-4818,,A,Concord,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x80855f35c3ce0e81:0xcb063c2791ea8765,Ducky's Car Wash Concord,+1-925-798-2520,https://duckysexpress.com/,B,Concord,Contra Costa,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x8085672c7773e73f:0xeb5dcbe3c3f7ff33,Kwik-N-Easy Car Wash,+1-925-687-4046,,A,Concord,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x8085613c0b4ce09f:0x2d952abfb1bb89a3,Pro Hand Car Wash,+1-925-435-8919,,A,Concord,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x80855e3d2053a1a7:0x180912a6d20a635c,So Kwik Car Wash,+1-925-676-4153,,A,Concord,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x80856172b8b741cd:0x553258b0370df5c8,Walnut Creek Car Wash,+1-925-946-9396,http://www.walnutcreek-carwash.com/,B,Concord,Contra Costa,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x80856574e0c49f19:0x2d9a1aa9b5aae53b,Autopia Car Wash - Martinez,+1-925-228-7145,http://www.autopiacarwash.com/,B,Martinez,Contra Costa,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x8b8a271ac9b4da51:0x5a013e23f51e3466,Auto Detailing / Ardonick,+1-510-932-2538,,A,Richmond,San Benito,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x89df5f0901be2b81:0x2e84b30ce7c141ef,Bay Suds Auto Detailing,+1-510-426-8932,,A,Richmond,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x8085784700a6cf4f:0xfcd20d3ec3749fda,Bubbles Car Wash Express,+1-510-234-6112,http://www.bubblescarwashexpress.com/,B,Richmond,Contra Costa,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x808579b889e612e5:0xeb14cbbb4806dea8,Elite Auto Car Wash,+1-510-944-2182,https://autowash.crd.co/?fbclid=PAQ0xDSwKGVyBleHRuA2FlbQIxMQABp-Pm56XhoiSWZDYJciydv38WQILwJLLDAXarhJz8ovBWh-qxSCWA4CUqCr9f_aem_eKM55yTqlcCj1CuPfu3_JA,A,Richmond,Contra Costa,CA,broken_or_unreachable
engine-v2,car-washes,google_maps:data_id:0x808577829f299bb7:0x2474bee6b86197bf,Grand Prix Express Car Wash,+1-510-669-0349,https://www.grandprixcarwash1.com/,B,Richmond,Contra Costa,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x80857719edd9b7d3:0xd450ba123ac7269b,H2go mobile car wash and detail,+1-650-260-3679,https://www.instagram.com/h2gocarwash_detail?igsh=eHQyY2YxNW9pNjR5&utm_source=qr,A,Richmond,Contra Costa,CA,third_party_only
engine-v2,car-washes,google_maps:data_id:0x808583a9bd531d19:0xa9d632af2ea1b0cb,JRS DETAILING,+1-510-804-5425,https://www.instagram.com/jrs_detailing_01,A,Richmond,Contra Costa,CA,third_party_only
engine-v2,car-washes,google_maps:data_id:0x808577845e8c88b1:0x63dccde6de5699b3,Next_Level_Auto_Detail,+1-510-978-1852,,A,Richmond,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808577f87b30fe01:0xaf2719a9de9a84d,Richmond Hand Car Wash,+1-510-232-3113,,A,Richmond,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x647e3285b04e52bd:0x9f97b0980f74deac,The Detail Group LLC,+1-818-390-0301,https://www.thedetailgroup.net/,A,Richmond,Los Angeles,CA,broken_or_unreachable
engine-v2,car-washes,google_maps:data_id:0x80859d4f74fb4b89:0xcb1d72775450aeba,Zeus Car Wash & Detail,+1-510-374-9391,,A,Richmond,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x2311685dcda3847f:0x950b2e94ecaf46cd,Mom & Me Mobile Car Wash,+1-650-417-3497,,A,San Ramon,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x808561bdf55ab1a1:0x8205750b449cb75f,Car Wash,+1-925-932-0725,,A,Walnut Creek,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x837c4d61baf56513:0xeb1d2077309aa272,Headlights Restoration and Car Wash Mobile. 🚗✨,+1-925-323-6224,,A,Walnut Creek,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x80856239aef07735:0x3334b386ae366c56,Lafayette Car Wash And Detail Center,+1-925-283-1190,http://www.lafayettecarwash.com/,B,Walnut Creek,Contra Costa,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x8085619626dd2003:0xcde70f90cfd6c99,Li'l Bear Car Wash,+1-925-933-9290,,A,Walnut Creek,Contra Costa,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x809af70ebb0e817f:0x9b2d74dee63b3211,Cameron Park Car Wash,+1-530-665-0659,http://cameronparkselfservicecarwash.com/,A,El Dorado Hills,El Dorado,CA,parked
engine-v2,car-washes,google_maps:data_id:0x809af75ceb338453:0x660282cd0622c38c,Car-izma Auto Spa was renamed Splasherville a year ago,+1-530-676-5289,,A,El Dorado Hills,El Dorado,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x809ae400d355ca57:0xaa86e53c465391ac,Dave's Car Wash,+1-530-350-5722,https://forms.gle/5FDQYPB1ixbpqqFW8,B,El Dorado Hills,Sacramento,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x2206ffc72a36e2d3:0xc31350ebbb7abde2,Fastline Detail,+1-530-919-4481,https://lanenoah039.wixsite.com/fastline-auto-detail,B,El Dorado Hills,Sacramento,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x809ae41b612bd101:0xe853a2bc7a491c4d,Folsom Glenn Car Wash & Auto Lube,+1-916-983-8977,http://www.folsomcarwash.com/,B,El Dorado Hills,Sacramento,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x809a50ba1a2d7f7f:0xfc8278c331b50510,Turner Street Carwash,+1-530-333-5850,,A,Placerville,El Dorado,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x80998fdd23ceafdd:0xa03e70b3ff53da2c,Blue Water Car Wash,+1-530-314-3209,,A,South Lake Tahoe,El Dorado,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x80998fc73cc1e9c3:0xb374aded4988cae0,Edgin Coin-Op Car Wash,+1-530-541-2982,,A,South Lake Tahoe,El Dorado,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x80998fdd877c7125:0xd501ab778f4320f1,Sierra Express Car Wash,+1-618-249-5343,https://sierrawash.com/locations/south-lake-tahoe/?y_source=1_MTA1MTA2MjgyMS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,B,South Lake Tahoe,El Dorado,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x62a9c0d90e28791:0x6a3f9956f2d7db67,Bright now detailing,+1-559-900-8428,,A,Clovis,Fresno,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x80945c9f0d893463:0xd3f6a82474931029,Bubble Clean,+1-559-298-4072,http://www.chevronwithtechron.com/,B,Clovis,Fresno,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x809442cf90c60a09:0xd93ce331b65b74ff,Bubble Clean 11,+1-559-324-9194,,A,Clovis,Fresno,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x886c14d80bfc445f:0x78e09d38eee7b531,Car wash king,+1-559-389-4257,,A,Clovis,Fresno,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x80945b0db9043a17:0x8024a33413666370,Jc Carwash DIY,+1-559-515-1094,,A,Clovis,Fresno,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x80945db48956cc55:0xef34ce86f4644962,Kalisskillsportablecarrwash,+1-559-770-2228,,A,Clovis,Fresno,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x80945c5912f4dc99:0x2c94b00c17122684,Red Carpet Car Wash,+1-559-292-6565,https://www.redcarpetcarwash.com/,B,Clovis,Fresno,CA,functional_with_objective_deficiency
engine-v2,car-washes,google_maps:data_id:0x809467285d549203:0x1c0b43117eae652,Autoshine Express Car Wash,+1-559-612-8469,,A,Fresno,Fresno,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x8094670bfd550cb5:0x41354c386eabe2ca,B&P Mobile Wash & Detailing,+1-559-477-3636,,A,Fresno,Fresno,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x809467addf0b8d05:0x8696bcc2e51d6c03,Diamond Mobile Wash & Detail,+1-870-875-0002,,A,Fresno,Fresno,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x809469d07f488e1f:0xa3d63537f3bc4cf9,Fresno Elite Hand Car Wash,+1-559-438-8201,,A,Fresno,Fresno,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x8094678c8d6950f7:0x5785c7e917b9f916,GoldenBoyz detail,+1-559-795-7492,,A,Fresno,Fresno,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x8094611823a0a1d5:0x114cf03cb47623c8,Hand car wash,+1-559-286-2304,,A,Fresno,Fresno,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x809467172e1d6fdd:0x63b1b60f06c1e02a,Miguel's Luxury Car Detailing & Hand Car Wash,+1-559-286-7183,,A,Fresno,Fresno,CA,no_website_link_listed
engine-v2,car-washes,google_maps:data_id:0x8094674194702f61:0xfe39485881b62600,Nova Mobile Detailing LLC,+1-559-856-2926,https://nova-mobile-detailing.square.site/,A,Fresno,Fresno,CA,third_party_only
engine-v2,car-washes,google_maps:data_id:0x8094674905ea30cf:0x94ea3da7faa009b,Palm Olive Car Wash,+1-559-264-7271,,A,Fresno,Fresno,CA,no_website_link_listed
