Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Mike's Craftline Detailing,,+1-510-205-9819,,,Alameda,CA,P4 | Class B | website has issues | https://www.mikescraftlinedetailing.com/,,Car Detailers
Mobile Bay Area Auto Detailing,,+1-415-913-9488,,"Broderick St, San Francisco, CA 94115, United States",Richmond,CA,P4 | Class B | website has issues | https://mobilebaautodetailing.com/,,Car Detailers
Altitude Car Detailing San Francisco,,+1-415-993-5076,,"95 Kirkham St, San Francisco, CA 94122, United States",San Francisco,CA,P4 | Class B | website has issues | https://mediumturquoise-gerbil-484777.hostingersite.com/,,Car Detailers
Ascend Car Detailing San Francisco,,+1-415-275-6980,,"1300 20th St, San Francisco, CA 94107, United States",San Francisco,CA,P4 | Class B | website has issues | https://peachpuff-buffalo-246014.hostingersite.com/,,Car Detailers
Bay SF Detailing,,+1-415-629-2122,,"363 6th St, San Francisco, CA 94103, United States",San Francisco,CA,P4 | Class B | website has issues | https://baysfdetailing.lovable.app/,,Car Detailers
Cole's Auto Detailing,,+1-415-980-8933,,"268 Pixley St, San Francisco, CA 94123, United States",San Francisco,CA,P4 | Class B | website has issues | https://colesautodetailing.co/,,Car Detailers
Crest Car Detailing San Francisco,,+1-415-712-0551,,"759 Harrison St, San Francisco, CA 94107, United States",San Francisco,CA,P4 | Class B | website has issues | https://lightgray-snake-707159.hostingersite.com/,,Car Detailers
Elevate Car Detailing San Francisco,,+1-415-909-3234,,"1785 Hayes St, San Francisco, CA 94117, United States",San Francisco,CA,P4 | Class B | website has issues | http://elevatecardetailingsanfrancisco.com/,,Car Detailers
Horizon Car Detailing San Francisco,,+1-415-610-7071,,"726 21st Ave, San Francisco, CA 94121, United States",San Francisco,CA,P4 | Class B | website has issues | https://sienna-jay-350786.hostingersite.com/,,Car Detailers
ICEYY Car Detailing,,+1-415-639-3627,,"1520 9th Ave, San Francisco, CA 94122, United States",San Francisco,CA,P4 | Class B | website has issues | http://iceyydetails.site/,,Car Detailers
PPF Wrap Up,,+1-415-756-2062,,"459B Clementina St, San Francisco, CA 94103, United States",San Francisco,CA,P4 | Class B | website has issues | http://www.ppfwrapup.com/,,Car Detailers
Premier Auto Detail,,+1-415-553-6615,,"981 Howard St, San Francisco, CA 94103, United States",San Francisco,CA,P4 | Class B | website has issues | https://sfpremierautodetailing.com/,,Car Detailers
Prestige Car Detailing San Francisco,,+1-415-993-7869,,"50 Van Ness Ave, San Francisco, CA 94102, United States",San Francisco,CA,P4 | Class B | website has issues | https://lightgray-oyster-662704.hostingersite.com/,,Car Detailers
SF Clean Car Detail,,+1-415-696-0074,,"Tower valet parking, Inc, 301 6th St, San Francisco, CA 94103, United States",San Francisco,CA,P4 | Class B | website has issues | https://sfcleancar.com/,,Car Detailers
Vantage Car Detailing San Francisco,,+1-415-625-4573,,"3401 Irving St, San Francisco, CA 94122, United States",San Francisco,CA,P4 | Class B | website has issues | https://cyan-tapir-390192.hostingersite.com/,,Car Detailers
