Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Adam's Polishes California,,+1-866-965-0400,,"725 N Shepard St, Anaheim, CA 92806, United States",Anaheim,CA,P4 | Class B | website has issues | http://adamspolishes.com/,,Car Detailers
Legit Coat Car Detailing,,+1-714-455-3053,,"6635 Moselle Cir, Yorba Linda, CA 92886, United States",Anaheim,CA,P4 | Class B | website has issues | https://legitcoatcardetailing.site/,,Car Detailers
Luna Glow Auto Detailing Anaheim,,+1-714-844-4178,,"1725 Auburn Way, Anaheim, CA 92805, United States",Anaheim,CA,P4 | Class B | website has issues | https://lunaglowautodetailinganaheim.com/,,Car Detailers
Luxorade Car Detailing,,+1-714-577-2834,,"140 S Highland Ave, Placentia, CA 92870, United States",Anaheim,CA,P4 | Class B | website has issues | https://luxoradecardetailing.site/,,Car Detailers
Mint Glitz Auto Detailing,,+1-714-515-7991,,"400 W Orangethorpe Ave, Fullerton, CA 92832, United States",Anaheim,CA,P4 | Class B | website has issues | https://mintglitzautodetailing.site/,,Car Detailers
Mirror Touch Auto Detailing,,+1-657-695-0902,,"3030 E Jackson Ave, Anaheim, CA 92806, United States",Anaheim,CA,P4 | Class B | website has issues | https://mirrortouchautodetailing.site/,,Car Detailers
Mobile Express Detailing,,+1-714-609-5065,,"375 W Birch St, Brea, CA 92821, United States",Anaheim,CA,P4 | Class B | website has issues | http://orangecountyautodetailing.biz/,,Car Detailers
Mr. Glossed,,+1-952-228-4495,,"4171 Denver Ave, Yorba Linda, CA 92886, United States",Anaheim,CA,P4 | Class B | website has issues | https://mrglossed.com/,,Car Detailers
Newport Beach Car Detailer,,+1-714-310-4412,,"221 S Camino De Paz, Anaheim, CA 92807, United States",Anaheim,CA,P4 | Class B | website has issues | http://www.newportbeachcardetailer.com/,,Car Detailers
Precision Coat Car Detailing,,+1-657-567-4428,,"435 S Chatham Cir, Anaheim, CA 92806, United States",Anaheim,CA,P4 | Class B | website has issues | https://precisioncoatcardetailing.site/,,Car Detailers
ProSmart Mobile Detailing,,+1-714-471-9772,,"2535 E Sandalwood Ct, Anaheim, CA 92806, United States",Anaheim,CA,P4 | Class B | website has issues | http://www.prosmartdetailing.com/,,Car Detailers
Quality Coat Car Detailing,,+1-714-276-6707,,"1525 S Euclid St, Anaheim, CA 92804, United States",Anaheim,CA,P4 | Class B | website has issues | https://qualitycoatcardetailing.site/,,Car Detailers
Royal Mobile Detailing,,+1-714-787-9635,,"20 City Blvd W, Orange, CA 92868, United States",Anaheim,CA,P4 | Class B | website has issues | https://royalmobilecardetailing.com/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAdGRleAS6hJtwZG9mAmV4dG4DYWVtAjExAHNydGMGYXBwX2lkDzEyNDAyNDU3NDI4NzQxNAABpykK8dj0y2csWlwQBalln9eG1ePjnWpxwH-Sa0D3cowcvvUmK65roo2NFP80_aem_U2mLp55vefgOfPUYKB01eQ,,Car Detailers
ShinyFleet Mobile Car Detailing Anaheim,,+1-714-613-8610,,"771 S Mosaic St, Anaheim, CA 92805, United States",Anaheim,CA,P4 | Class B | website has issues | https://shinyfleetmobiledetailing.shop/,,Car Detailers
Socal eternaldetail,,+1-714-747-2407,,,Anaheim,CA,P4 | Class B | website has issues | http://www.socaleternaldetail.com/,,Car Detailers
Top Auto Shine Mobile Detailing,,+1-714-357-2817,,,Anaheim,CA,P4 | Class B | website has issues | https://topautoshinedetailing.com/,,Car Detailers
Vetra Car Detailing Garden Grove,,+1-714-589-8778,,"12151 Bayport St, Garden Grove, CA 92840, United States",Anaheim,CA,P4 | Class B | website has issues | https://vetracardetailinggardengrove.site/,,Car Detailers
W.O.W Detailing LLC,,+1-657-340-7957,,"2400 E Katella Ave, Anaheim, CA 92806, United States",Anaheim,CA,P4 | Class B | website has issues | http://www.wowdetailingllc.com/,,Car Detailers
Yorba Linda Elite Auto Detailing,,+1-714-468-8585,,"22911 Savi Ranch Pkwy, Yorba Linda, CA 92887, United States",Anaheim,CA,P4 | Class B | website has issues | http://www.yorbalindaeliteautodetailing.com/,,Car Detailers
Mr. Lai's Mobile Detailing Services,,+1-323-558-2652,,,Baldwin Park,CA,P4 | Class B | website has issues | http://mrlaidetailing.com/,,Car Detailers
Garcia's Mobile Wash and Detail,,+1-562-326-6584,,,Bellflower,CA,P4 | Class B | website has issues | https://www.garciasmobilewashca.com/,,Car Detailers
AP Details Car Detailing,,+1-562-708-1735,,,Buena Park,CA,P4 | Class B | website has issues | https://www.apprecisiondetailing.com/home,,Car Detailers
Blacktop Auto Detailing,,+1-714-559-3882,,"7000 La Palma Ave, Buena Park, CA 90620, United States",Buena Park,CA,P4 | Class B | website has issues | https://blacktopautodetailing.site/,,Car Detailers
Bonnie car detailing Buena Park,,+1-657-701-3431,,"7591 Knott Ave, Buena Park, CA 90620, United States",Buena Park,CA,P4 | Class B | website has issues | https://bonniecardetailingbuenapark.site/,,Car Detailers
Detailing on Demand,,+1-833-355-6912,,,Buena Park,CA,P4 | Class B | website has issues | http://www.dodmobiledetail.com/,,Car Detailers
Dr Detail,,+1-714-870-8555,,"1115 W Orangethorpe Ave, Fullerton, CA 92833, United States",Buena Park,CA,P4 | Class B | website has issues | https://drdetailfullerton.wixsite.com/detail,,Car Detailers
Elite Custom Detailing,,+1-714-452-7376,,,Buena Park,CA,P4 | Class B | website has issues | https://web.detailconnect.app/u=elite-custom-detailing-J6LC1L,,Car Detailers
Ice Cold Car Detailing Cypress,,+1-714-551-9097,,"Alice Cir, Cypress, CA 90630, United States",Buena Park,CA,P4 | Class B | website has issues | http://icecoldcardetailingcypress.site/,,Car Detailers
Jules Elite Films,,+1-714-699-3516,,"5870 Dale St, Buena Park, CA 90621, United States",Buena Park,CA,P4 | Class B | website has issues | http://juleselitefilms.com/,,Car Detailers
MRod's Paint Correction & Ceramic Coating,,+1-714-330-7615,,"5188 Sowma Way, Cypress, CA 90630, United States",Buena Park,CA,P4 | Class B | website has issues | https://mrodsgarage.com/,,Car Detailers
MYLA Car Detailing Stanton,,+1-657-567-4341,,"7961 Orangewood Ave, Stanton, CA 90680, United States",Buena Park,CA,P4 | Class B | website has issues | https://mylacardetalingstanton.site/,,Car Detailers
Mo's Essentials Auto Detailing,,+1-657-255-8597,,,Buena Park,CA,P4 | Class B | website has issues | http://mosessentials.com/,,Car Detailers
the auto detail guys garage,,+1-562-661-3408,,"1040 S Cypress St Ste B, La Habra, CA 90631, United States",Buena Park,CA,P4 | Class B | website has issues | https://theautodetailguys.com/,,Car Detailers
Louie's Mobile Detailing,,+1-310-467-9060,,,Carson,CA,P4 | Class B | website has issues | https://book.heygoldie.com/Louie-Details,,Car Detailers
Deluxe Detailing,,+1-626-228-8235,,,Chino,CA,P4 | Class B | website has issues | http://deluxedetailoc.com/,,Car Detailers
125 Detailing,,+1-951-751-6962,,,Corona,CA,P4 | Class B | website has issues | https://125detailing.com/,,Car Detailers
2nd Look Detailing & Ceramic Coating,,+1-714-655-6180,,,Costa Mesa,CA,P4 | Class B | website has issues | http://www.2ndlookdetail.com/,,Car Detailers
Beachside Detail LLC,,+1-949-525-5601,,"1908 Pomona Ave b, Costa Mesa, CA 92627, United States",Costa Mesa,CA,P4 | Class B | website has issues | http://www.beachsidedetail.com/,,Car Detailers
Beam Auto Detailing,,+1-949-400-4239,,,Costa Mesa,CA,P4 | Class B | website has issues | https://sites.google.com/view/beamdetailing/home,,Car Detailers
Blue Line Mobile Detail,,+1-562-719-3386,,,Costa Mesa,CA,P4 | Class B | website has issues | http://www.bluelinedetail.com/,,Car Detailers
CA Coast Mobile Detailing,,+1-949-929-4596,,,Costa Mesa,CA,P4 | Class B | website has issues | http://cacoastdetail.com/,,Car Detailers
CJ DETAILZ,,+1-330-285-3346,,"2837 Harbor Blvd Unit B, Costa Mesa, CA 92626, United States",Costa Mesa,CA,P4 | Class B | website has issues | https://cjdetailz.com/,,Car Detailers
Classy Cars Auto Detailing,,+1-949-873-5119,,"775W17, th # M, Costa Mesa, CA 92627, United States",Costa Mesa,CA,P4 | Class B | website has issues | http://classycarsdetailing.com/,,Car Detailers
Clevra Car Detailing,,+1-949-787-6062,,"Costa Mesa, CA 92627, United States",Costa Mesa,CA,P4 | Class B | website has issues | https://clevracardetailingcostamesa.site/,,Car Detailers
Echo Elite Detail,,+1-714-833-7360,,,Costa Mesa,CA,P4 | Class B | website has issues | https://sites.google.com/view/echo-elite-detail/home,,Car Detailers
Ed's Pro Car Care,,+1-714-458-7660,,"1974 Charle St, Costa Mesa, CA 92627, United States",Costa Mesa,CA,P4 | Class B | website has issues | http://edsprocarcare.com/,,Car Detailers
Glistening Perfection,,+1-888-459-7130,,"761 W 16th St, Costa Mesa, CA 92627, United States",Costa Mesa,CA,P4 | Class B | website has issues | http://www.glisteningperfection.com/,,Car Detailers
Huntington Beach 5Star Fresh Mobile Detailing,,+1-714-681-1407,,"334 Portland Cir, Huntington Beach, CA 92648, United States",Costa Mesa,CA,P4 | Class B | website has issues | https://5starfreshdetailing.com/,,Car Detailers
Hyper Coat Car Detailing,,+1-949-894-4618,,"Costa Mesa, CA 92627, United States",Costa Mesa,CA,P4 | Class B | website has issues | https://hypercoatcardetailing.site/,,Car Detailers
I Am Detailing,,+1-949-333-3861,,"1970 Placentia Ave, Costa Mesa, CA 92627, United States",Costa Mesa,CA,P4 | Class B | website has issues | https://iamdetailing.com/,,Car Detailers
Innovative Detailing,,+1-714-715-9397,,"2650 Walnut Ave M, Tustin, CA 92780, United States",Costa Mesa,CA,P4 | Class B | website has issues | http://www.innovativedetailing.com/,,Car Detailers
Lustrous Detail,,+1-949-689-8251,,"Costa Mesa, CA 92627, United States",Costa Mesa,CA,P4 | Class B | website has issues | https://www.lustrousdetail.com/,,Car Detailers
OC Express Detailing,,+1-800-953-3391,,"1820 E Garry Ave Ste 208, Santa Ana, CA 92705, United States",Costa Mesa,CA,P4 | Class B | website has issues | http://ocexpressdetailing.com/,,Car Detailers
Orange County Auto Detailing,,+1-888-622-8863,,"16371 Gothard St, Huntington Beach, CA 92647, United States",Costa Mesa,CA,P4 | Class B | website has issues | http://ocautodetailing.com/,,Car Detailers
Phantom Finish Auto Detailing,,+1-714-786-5049,,"10300 La Hacienda Ave, Fountain Valley, CA 92708, United States",Costa Mesa,CA,P4 | Class B | website has issues | https://phantomfinishautodetailing.site/,,Car Detailers
Refined Mobile Auto Detailing - Orange County,,+1-714-944-3816,,"3710 S Van Ness Ave, Santa Ana, CA 92707, United States",Costa Mesa,CA,P4 | Class B | website has issues | https://www.refined-detailing.com/,,Car Detailers
SIDS Mobile car Wash And Detailing Newport Beach,,+1-949-205-3104,,"1600 Jamboree Rd, Newport Beach, CA 92660, United States",Costa Mesa,CA,P4 | Class B | website has issues | https://www.sidsmobilewashdetailing.com/,,Car Detailers
Shine Pro Detail Supplies,,+1-949-612-8301,,"807 W 19th St, Costa Mesa, CA 92627, United States",Costa Mesa,CA,P4 | Class B | website has issues | http://shineprodetailsupplies.com/,,Car Detailers
Sweet Detailing OC,,+1-818-448-6745,,"222 Santa Maria, Irvine, CA 92606, United States",Costa Mesa,CA,P4 | Class B | website has issues | http://www.sweetdetailingoc.com/,,Car Detailers
Ultimate Detailing,,+1-714-850-1800,,"611 Anton Blvd, Costa Mesa, CA 92626, United States",Costa Mesa,CA,P4 | Class B | website has issues | https://www.ultimatedetailing.net/,,Car Detailers
