Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
3-G Lux Auto Spa,,+1-323-274-4564,,"7320 N Figueroa St, Los Angeles, CA 90041, United States",Alhambra,CA,P4 | Class B | website has issues | http://3gluxauto.com/,,Car Detailers
ECO Mobile Detailing,,+1-323-371-4273,,"Parking Garage, 8000 Sunset Blvd Level P1, Los Angeles, CA 90046, United States",Burbank,CA,P4 | Class B | website has issues | http://www.ecomobiledetailing.com/,,Car Detailers
Elite Mobile Auto Detailers,,+1-818-281-2004,,,Burbank,CA,P4 | Class B | website has issues | https://elitemobileautodetailers.com/,,Car Detailers
Glendale 5Star Fresh Mobile Detailing,,+1-714-831-5436,,"522 S Everett St, Glendale, CA 91205, United States",Burbank,CA,P4 | Class B | website has issues | https://5starfreshdetailing.com/,,Car Detailers
Impressive Detailing,,+1-747-310-6790,,"11784 Sheldon St unit 2, Sun Valley, CA 91352, United States",Burbank,CA,P4 | Class B | website has issues | http://www.impressivedetailing.com/,,Car Detailers
L&J Mobile Detailing LLC,,+1-626-838-7005,,"100 W Broadway, Glendale, CA 91210, United States",Burbank,CA,P4 | Class B | website has issues | https://lnjmobiledetail.com/,,Car Detailers
Mobile Hand Wash LA,,+1-310-678-5683,,,Burbank,CA,P4 | Class B | website has issues | https://www.mobilehandwashla.com/,,Car Detailers
ProShine Mobile Car Wash Glendale,,+1-818-934-9542,,"201 E Chestnut St, Glendale, CA 91205, United States",Burbank,CA,P4 | Class B | website has issues | https://web.detailconnect.app/u=proshine-QM2Y08,,Car Detailers
ShinePros Wash & Detail,,+1-818-875-0444,,"6405 Wilkinson Ave, North Hollywood, CA 91606, United States",Burbank,CA,P4 | Class B | website has issues | https://shineprosnh.com/,,Car Detailers
Supreme Sunshine Mobile Detailing,,+1-323-943-5559,,,Burbank,CA,P4 | Class B | website has issues | https://www.supremesunshinemd.com/,,Car Detailers
4 Star Mobile Detailing,,+1-213-798-4787,,"338 W Magnolia St #3, Compton, CA 90220, United States",Carson,CA,P4 | Class B | website has issues | http://4starmobiledetailing.net/,,Car Detailers
Alchemy Paint Protection,,+1-310-400-4741,,"1647 Sepulveda Blvd unit 6, Torrance, CA 90501, United States",Carson,CA,P4 | Class B | website has issues | https://alchemypaintprotection.com/,,Car Detailers
Autocare Details562,,+1-562-323-9821,,"2675 E 21st St, Signal Hill, CA 90755, United States",Carson,CA,P4 | Class B | website has issues | https://sites.google.com/view/autocaredetails562/home,,Car Detailers
Chemical Guys Auto Detailing Supplies Store,,+1-310-678-2838,,"3501 Sepulveda Blvd, Torrance, CA 90505, United States",Carson,CA,P4 | Class B | website has issues | http://www.chemicalguys.com/,,Car Detailers
DC's Mobile Car Wash and Detailing,,+1-310-562-7129,,"2213 Rockefeller Ln #1, Redondo Beach, CA 90278, United States",Carson,CA,P4 | Class B | website has issues | https://dcmobilecarwashand.wixsite.com/website,,Car Detailers
Drip N Shine Mobile Detailing,,+1-424-279-8892,,,Carson,CA,P4 | Class B | website has issues | http://dripnshine.biz/,,Car Detailers
Immaculate Auto Detail,,+1-310-480-8470,,"22636 Normandie Ave D, Torrance, CA 90502, United States",Carson,CA,P4 | Class B | website has issues | http://www.immaculateautodetail.com/,,Car Detailers
JPR Mobile Detailing,,+1-562-726-5473,,"1178 E 21st St, Long Beach, CA 90806, United States",Carson,CA,P4 | Class B | website has issues | https://www.jprmobiledetailing.com/,,Car Detailers
Kings Detailing Mobile Service,,+1-562-292-2328,,"11214 Atlantic Ave, Lynwood, CA 90262, United States",Carson,CA,P4 | Class B | website has issues | http://kingsdetailing.services/,,Car Detailers
Legendary Mobile Detailing,,+1-562-751-3094,,"1422 E 33rd St, Signal Hill, CA 90755, United States",Carson,CA,P4 | Class B | website has issues | https://www.legendarymobile.biz/,,Car Detailers
Makai Detailers,,+1-424-262-2667,,,Carson,CA,P4 | Class B | website has issues | http://makaidetailers.com/,,Car Detailers
Maldonado Auto Detail,,+1-562-241-6386,,"2731 W Lantana St, Compton, CA 90220, United States",Carson,CA,P4 | Class B | website has issues | https://maldonadosautodetail.com/,,Car Detailers
Nerio's Auto Detailing,,+1-323-408-4686,,"2620 W Bennett St, Compton, CA 90220, United States",Carson,CA,P4 | Class B | website has issues | https://neriosautodetailing.glossgenius.com/,,Car Detailers
Prime Shine Mobile Detailing Lomita,,+1-626-635-2368,,"24001 Pennsylvania Ave, Lomita, CA 90717, United States",Carson,CA,P4 | Class B | website has issues | https://primeshinemobiledetailinglomita.site/,,Car Detailers
Rb Auto Detailing,,+1-562-326-8405,,,Carson,CA,P4 | Class B | website has issues | https://sites.google.com/view/rbautodetailing/home,,Car Detailers
Royal Auto Detail,,+1-310-293-6225,,,Carson,CA,P4 | Class B | website has issues | http://www.royalautodetailca.com/,,Car Detailers
Veil Shine Auto Detailing,,+1-562-262-8682,,"2201 E 21st St, Signal Hill, CA 90755, United States",Carson,CA,P4 | Class B | website has issues | https://veilshineautodetailing.site/,,Car Detailers
Elc Mobile Detailing,,+1-760-514-7011,,,Chino,CA,P4 | Class B | website has issues | https://drive.google.com/file/d/1KH-74Thrl15Fu-2XIHcEtsTySJkuvzDn/view,,Car Detailers
Nexa Auto Detail,,+1-626-549-5034,,,Chino,CA,P4 | Class B | website has issues | https://www.nexaautomotive.com/,,Car Detailers
Shine Forever,,+1-909-993-7503,,,Chino,CA,P4 | Class B | website has issues | http://shineforeverdetail.com/,,Car Detailers
Auto Detail Supplies Outlet,,+1-323-767-7212,,"4115 Florence Ave, Bell, CA 90201, United States",Downey,CA,P4 | Class B | website has issues | https://3rdmillenniumdetailproducts.com/,,Car Detailers
Calle Detalle,,+1-323-447-6947,,"Old River School Rd, Downey, CA 90241, United States",Downey,CA,P4 | Class B | website has issues | https://calledetalle.squarespace.com/,,Car Detailers
Downey Auto Detailing,,+1-562-414-5323,,,Downey,CA,P4 | Class B | website has issues | https://www.downeyautodetailingco.com/,,Car Detailers
Keith Thompson Professional Detailing,,+1-562-869-8059,,"8706 Cleta St, Downey, CA 90241, United States",Downey,CA,P4 | Class B | website has issues | http://ktprofessionaldetailing.net/,,Car Detailers
Mixco’s Auto Spa,,+1-562-794-0556,,,Downey,CA,P4 | Class B | website has issues | https://mixcosautospa.squarespace.com/config/mixcosautospa.squarespace.com/homepage,,Car Detailers
Mr Solution Mobile Wash & Detailing,,+1-833-792-7448,,"9817 Painter Ave, Whittier, CA 90605, United States",Downey,CA,P4 | Class B | website has issues | http://www.mrsolutionmobiledetailing.com/,,Car Detailers
Proteam Mobile Detailers,,+1-310-308-2140,,,Downey,CA,P4 | Class B | website has issues | https://noearias.setmore.com/,,Car Detailers
Thrive Detail USA - Car Detailing,,+1-562-656-6114,,"12218 Howard St, Whittier, CA 90601, United States",Downey,CA,P4 | Class B | website has issues | https://www.thrivedetailusa.com/,,Car Detailers
True Shine Mobile Car Detailing of Downey,,+1-714-443-1505,,"5951 Firestone Blvd, South Gate, CA 90280, United States",Downey,CA,P4 | Class B | website has issues | https://web.detailconnect.app/u=true-shine-mobile-car-detailing-GRLGWQ,,Car Detailers
Vernon's Mobile Car Wash & Detailing Service,,+1-323-204-6728,,,Downey,CA,P4 | Class B | website has issues | http://www.vernonsmobiledetail.com/,,Car Detailers
Car Detailing-Avinas auto detailing,,+1-626-217-5449,,"15234 Hartsville St, La Puente, CA 91744, United States",El Monte,CA,P4 | Class B | website has issues | https://fabianavina360fa.wixsite.com/mysite-1?fbclid=PAAaY9uTVw_yc0xS4ei9TWY0rPPsz3XqH75NShnUtAR8EOITv458iPj6xkLTo,,Car Detailers
On The Go Detailing,,+1-626-324-1924,,"1253 Lerma Rd, South El Monte, CA 91733, United States",El Monte,CA,P4 | Class B | website has issues | https://www.onthegodetailing.biz/,,Car Detailers
Purified Mobile Detailing,,+1-626-362-1099,,"14357 Flynn St, La Puente, CA 91744, United States",El Monte,CA,P4 | Class B | website has issues | https://purifiedmobiledetail.wixsite.com/purified-mobile-deta,,Car Detailers
Szeto's Spa & Shine: Luxury Mobile Detailing,,+1-626-429-5399,,,El Monte,CA,P4 | Class B | website has issues | https://szetospaandshine.com/,,Car Detailers
Venomous Detailing,,+1-626-206-3312,,"3707 Tyler Ave, El Monte, CA 91731, United States",El Monte,CA,P4 | Class B | website has issues | http://venomousdetailing.com/,,Car Detailers
Legacy Luxury Car Detailing,,+1-657-286-7609,,"600 N Harbor Blvd, La Habra, CA 90631, United States",Fullerton,CA,P4 | Class B | website has issues | http://legacyluxurycardetailing.site/,,Car Detailers
Premium Mobile Detailing OC,,+1-714-904-1596,,,Fullerton,CA,P4 | Class B | website has issues | https://premiumdetailingoc.com/,,Car Detailers
Royal Flush Auto Detailing,,+1-562-324-3308,,,Fullerton,CA,P4 | Class B | website has issues | http://www.royalflushautodetailing.com/,,Car Detailers
Above All Detailing,,+1-213-878-4041,,,Glendale,CA,P4 | Class B | website has issues | https://forms.gle/yAbN1FuXKMD3t2x49,,Car Detailers
Androse Carwash,,+1-818-524-0144,,"2421 Montrose Ave, Montrose, CA 91020, United States",Glendale,CA,P4 | Class B | website has issues | https://www.androsecarwash.com/,,Car Detailers
Cortes Detailing,,+1-626-323-9240,,,Glendale,CA,P4 | Class B | website has issues | https://booking.detailermade.com/386952cd-5946-48c7-a3d3-a1f102d92e2f,,Car Detailers
Detail Society,,+1-818-331-4773,,"7417 Hillrose St, Tujunga, CA 91042, United States",Glendale,CA,P4 | Class B | website has issues | https://www.detail-society.com/,,Car Detailers
